Index,Fitted Radius (m)
1,0.004906444717414562
2,0.005022822719729035
3,0.005139108594276492
4,0.0052553024139876375
5,0.005371404251735384
6,0.0054874141803349765
7,0.0056033322725440315
8,0.005719158601062548
9,0.005834893238532978
10,0.00595053625754027
11,0.0060660877306119385
12,0.006181547730218028
13,0.006296916328771266
14,0.00641219359862702
15,0.006527379612083407
16,0.006642474441381301
17,0.00675747815870437
18,0.006872390836179155
19,0.006987212545875124
20,0.007101943359804634
21,0.007216583349923112
22,0.007331132588128939
23,0.007445591146263654
24,0.007559959096111877
25,0.007674236509401433
26,0.007788423457803327
27,0.007902520012931853
28,0.008016526246344632
29,0.008130442229542583
30,0.008244268033970091
31,0.00835800373101492
32,0.008471649392008361
33,0.008585205088225231
34,0.008698670890883926
35,0.00881204687114645
36,0.00892533310011848
37,0.009038529648849405
38,0.009151636588332361
39,0.009264653989504315
40,0.009377581923246048
41,0.009490420460382214
42,0.009603169671681469
43,0.009715829627856368
44,0.009828400399563519
45,0.009940882057403629
46,0.010053274671921469
47,0.010165578313605992
48,0.010277793052890328
49,0.010389918960151873
50,0.010501956105712282
51,0.010613904559837588
52,0.010725764392738167
53,0.010837535674568806
54,0.010949218475428759
55,0.011060812865361825
56,0.011172318914356312
57,0.011283736692345142
58,0.011395066269205882
59,0.011506307714760761
60,0.011617461098776767
61,0.0117285264909656
62,0.011839503960983863
63,0.011950393578432927
64,0.012061195412859126
65,0.012171909533753704
66,0.012282536010552927
67,0.012393074912638065
68,0.012503526309335471
69,0.012613890269916639
70,0.012724166863598174
71,0.012834356159541958
72,0.012944458226855075
73,0.013054473134589892
74,0.013164400951744152
75,0.013274241747260964
76,0.013383995590028841
77,0.013493662548881787
78,0.013603242692599288
79,0.013712736089906426
80,0.013822142809473813
81,0.013931462919917773
82,0.014040696489800265
83,0.014149843587628982
84,0.014258904281857387
85,0.014367878640884749
86,0.014476766733056201
87,0.01458556862666275
88,0.014694284389941387
89,0.01480291409107502
90,0.014911457798192654
91,0.015019915579369297
92,0.015128287502626105
93,0.015236573635930391
94,0.015344774047195617
95,0.015452888804281535
96,0.01556091797499417
97,0.015668861627085823
98,0.01577671982825523
99,0.015884492646147476
100,0.01599218014835413
101,0.016099782402413245
102,0.016207299475809414
103,0.016314731435973784
104,0.01642207835028415
105,0.016529340286064967
106,0.016636517310587382
107,0.016743609491069282
108,0.016850616894675357
109,0.01695753958851712
110,0.017064377639652982
111,0.017171131115088237
112,0.01727780008177512
113,0.017384384606612936
114,0.017490884756447944
115,0.017597300598073566
116,0.017703632198230287
117,0.017809879623605782
118,0.017916042940834948
119,0.01802212221649991
120,0.018128117517130095
121,0.018234028909202254
122,0.018339856459140526
123,0.018445600233316473
124,0.018551260298049103
125,0.018656836719604913
126,0.01876232956419797
127,0.018867738897989903
128,0.01897306478708997
129,0.019078307297555094
130,0.019183466495389923
131,0.01928854244654684
132,0.019393535216925984
133,0.019498444872375408
134,0.01960327147869095
135,0.019708015101616447
136,0.019812675806843597
137,0.019917253660012176
138,0.02002174872670997
139,0.020126161072472823
140,0.02023049076278472
141,0.020334737863077806
142,0.02043890243873245
143,0.0205429845550772
144,0.02064698427738897
